;genres;app_name;release_date;tags;specs;price;id;developer
3875;['Adventure', 'Indie', 'Early Access'];AWAKE;2015-12-16;['Early Access', 'Adventure', 'Indie', 'Survival'];['Single-player', 'Partial Controller Support'];4.99;421110;Diios
3880;['Action', 'Casual', 'Indie', 'Early Access'];Waves 2;2015-12-16;"['Early Access', 'Indie', 'Casual', 'Action', 'Twin Stick Shooter', 'Top-Down Shooter', 'Arena Shooter', 'Score Attack', 'Fast-Paced', 'Arcade', ""Shoot 'Em Up"", 'Top-Down', 'Bullet Hell', 'Singleplayer', 'Shooter']";['Single-player', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards'];9.99;217120;Squid In A Box Ltd
3890;['Action', 'Adventure', 'Indie'];Retaliation;2015-11-24;['Indie', 'Adventure', 'Action', 'Atmospheric', 'Exploration', 'Horror'];['Single-player'];0.0;418280;Cameron Baxter,Billy Jazz Hills Stickley
3893;['Casual', 'Indie'];Swapperoo;2015-12-18;['Indie', 'Casual', 'Puzzle'];['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards'];4.99;410150;Fallen Tree Games Ltd
3903;['Free to Play', 'Massively Multiplayer', 'Simulation'];Steel Ocean - Repulse Package;2015-12-25;['Free to Play', 'Massively Multiplayer', 'Simulation'];['Multi-player', 'MMO', 'Co-op', 'Downloadable Content'];0.0;430110;ICE Entertainment
3906;['Action', 'Indie'];Taimumari — Soundtrack;2015-12-25;['Action', 'Indie'];['Single-player', 'Downloadable Content'];1.99;376230;TERNOX
3907;['Free to Play', 'Indie', 'Massively Multiplayer', 'Strategy'];Астролорды: Оружие Пришельцев;2015-12-28;['Strategy', 'Massively Multiplayer', 'Indie', 'Free to Play'];['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards', 'Commentary available'];15.99;431060;Aratog LLC
3909;['Casual', 'Indie', 'Simulation', 'Sports', 'Strategy'];Elysium: Blood Games;2016-01-05;['Sports', 'Indie', 'Casual', 'Simulation', 'Strategy', 'Management', 'Turn-Based Tactics', 'Turn-Based', 'Turn-Based Strategy', 'Text-Based'];['Single-player', 'Steam Trading Cards'];1.99;430080;SimProse Studios
3917;['Action'];Kung Fu Panda: Bao and Panda Vista;2016-01-06;['Action'];['Single-player', 'Multi-player', 'Downloadable Content', 'Full controller support'];0.99;413800;Vicious Cycle Software
3921;['Action', 'Adventure', 'Indie'];The Growth Journey;2016-01-07;['Action', 'Adventure', 'Indie'];['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud'];3.99;416610;Cleverweek
3928;['Racing', 'Simulation', 'Sports'];MX vs. ATV Supercross Encore - Supercross Track Pack 2;2016-01-08;['Simulation', 'Racing', 'Sports'];['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards'];9.99;421160;Rainbow Studios,THQ Nordic
3937;['Adventure', 'Indie'];Space Pilgrim Episode II: Epsilon Indi;2016-01-09;['Adventure', 'RPGMaker', 'Space', 'Indie', 'Sci-fi', 'Story Rich', 'Female Protagonist', 'Casual', 'Crime', 'Atmospheric', 'RPG', 'JRPG', '2D'];['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards'];1.99;431710;Pilgrim Adventures,GrabTheGames Studios
3947;['Action', 'Casual', 'Indie'];The Great Escape;2016-01-11;"['Action', 'Indie', 'Casual', ""Shoot 'Em Up"", 'Sci-fi', 'Funny', 'Atmospheric', 'Survival', 'Arcade', 'Shooter', 'Strategy']";['Single-player', 'Steam Trading Cards', 'Partial Controller Support'];3.99;434800;XiNFiNiTY Games
3967;['Simulation'];TANE DLC: CSX EMD SD60;2016-01-12;['Simulation'];['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content'];12.99;404218;N3V Games
3970;['Casual', 'Indie', 'Strategy'];Boss Monster: Power-Up Pack;2016-01-13;['Strategy', 'Indie', 'Casual'];['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Partial Controller Support', 'Steam Cloud'];1.99;363251;Plain Concepts Corp
3976;['Casual', 'Indie', 'Strategy'];Zombie Wars: Invasion;2016-01-14;['Strategy', 'Indie', 'Casual', 'Tower Defense', 'Zombies'];['Single-player', 'Steam Achievements', 'Steam Trading Cards'];2.99;429060;DNZY Games
3977;['Action', 'Free to Play', 'Indie'];Wilson Chronicles;2016-01-14;['Free to Play', 'Action', 'Indie', 'FPS', 'Mod', 'Singleplayer', 'Multiplayer', 'First-Person', 'Zombies'];['Single-player', 'Full controller support', 'Includes level editor', 'Includes Source SDK'];0.0;313240;Frere d'Arme
3978;['Action', 'Massively Multiplayer', 'Simulation'];WarBirds Dogfights 2016;2016-01-14;['Simulation', 'Action', 'Massively Multiplayer'];['Single-player', 'Multi-player', 'MMO'];19.99;433130;iEntertainment Network Inc
3992;['Casual', 'Indie'];Stop Online - Battle of Words;2016-01-15;['Casual', 'Indie', 'Multiplayer', 'Word Game', 'Education', 'Typing'];['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards'];4.99;406310;BRHP
4001;['Free to Play'];Astro Lords: Oort Cloud;2016-01-15;['Free to Play', 'Space', 'Strategy'];['Single-player', 'MMO'];0.0;372190;Aratog LLC
4009;['Casual', 'Free to Play', 'Indie'];Cloney;2014-03-15;['Free to Play', 'Casual', 'Indie'];['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards'];0.0;400030;dotBunny
4021;['Action'];GameGuru - Sci-Fi Mission to Mars Pack;2016-01-25;['Game Development', 'Action', 'Design & Illustration', 'Animation & Modeling', 'GameMaker', 'Space', 'Education', 'Sci-fi', 'Futuristic', 'Space Sim', 'Fighting', 'First-Person', 'FPS'];['Single-player', 'Multi-player', 'Downloadable Content'];19.99;404570;The Game Creators
4032;['Simulation'];FSX: Steam Edition - Northrop F-5E Tiger II Add-On;2016-01-26;['Simulation'];['Single-player', 'Multi-player', 'Downloadable Content', 'Partial Controller Support'];9.99;379557;Virtavia
4035;['Simulation', 'Strategy'];Age of Mythology EX: Tale of the Dragon;2016-01-28;['Strategy', 'Simulation', 'Mythology', 'RTS'];['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor'];9.99;355960;SkyBox Labs,Forgotten Empires
4041;['Action', 'RPG', 'Early Access'];Medieval Playground;2016-01-29;['Early Access', 'Action', 'RPG', 'Medieval', 'Open World'];['Single-player'];4.99;435230;Americo Mateus Rodrigues
4050;['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'Simulation'];Time of Dragons;2016-02-01;['Dragons', 'Free to Play', 'Flight', 'Massively Multiplayer', 'Action', 'Shooter', 'Multiplayer', 'Simulation', 'Open World', 'Indie', 'PvP', 'Adventure', 'Sci-fi', 'FPS', 'MMORPG', 'Co-op', 'Singleplayer', 'MOBA', 'Survival'];['Multi-player'];0.0;353130;4 I Lab
4052;['Adventure', 'Indie', 'RPG'];Aveyond 4: Shadow of the Mist;2016-02-01;['RPG', 'Indie', 'Adventure', 'RPGMaker'];['Single-player'];14.99;433920;Amaranth Games, LLC
4066;['Casual'];planktOs;2016-02-03;['Casual', 'Puzzle', 'Atmospheric'];['Single-player', 'Full controller support'];4.99;330500;Blot Interactive
4076;['Simulation'];TANE DLC: Laaers Car Transporter;2016-02-03;['Simulation'];['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content'];8.99;438390;N3V Games
4077;['Indie', 'Simulation', 'Strategy'];Valhalla Hills: Two-Horned Helmet Edition Upgrade;2016-02-08;['Strategy', 'Indie', 'Simulation'];['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud'];9.99;425530;Funatics Software
4078;['Indie', 'Simulation', 'Strategy'];Valhalla Hills: Sand of the Damned DLC;2016-02-08;['Strategy', 'Indie', 'Simulation'];['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud'];4.99;437430;Funatics Software
4090;['Action', 'Indie'];Level 22: Gary’s Misadventure - 2016 Edition;2016-01-29;['Action', 'Indie', 'Stealth'];['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud'];6.99;431290;Moving Player
4094;['Adventure', 'Casual'];Dream Catcher Chronicles: Manitou;2016-02-11;['Casual', 'Adventure', 'Hidden Object'];['Single-player'];9.99;432780;Viva Media
4102;['Adventure', 'Indie', 'Strategy'];Doors;2016-02-12;['Indie', 'Adventure', 'Strategy', 'Puzzle', 'Walking Simulator', 'Atmospheric'];['Single-player', 'Steam Achievements', 'Steam Trading Cards'];4.99;395350;Calvin Weibel
4103;['Action', 'Indie', 'RPG'];Defragmented;2016-02-12;['Indie', 'Action', 'RPG', 'Cyberpunk', 'Great Soundtrack', 'Top-Down Shooter', 'Action RPG', 'Story Rich'];['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud'];14.99;426170;Glass Knuckle Games
4120;['Adventure', 'Casual', 'Indie', 'RPG'];Army of Tentacles: (Not) A Cthulhu Dating Sim;2016-02-15;['RPG', 'Indie', 'Adventure', 'Casual', 'Lovecraftian', 'Visual Novel', 'Funny', 'Dating Sim', 'Female Protagonist', 'Singleplayer', 'Horror', 'Fantasy', 'Sci-fi', 'Demons', 'Conspiracy', 'Walking Simulator', 'Werewolves', 'Comedy', 'Dark Humor', 'Science'];['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available'];4.99;427930;Stegalosaurus Game Development
4135;['Indie', 'Simulation', 'Strategy'];Influent DLC - Dansk [Learn Danish];2016-02-16;['Strategy', 'Indie', 'Simulation'];['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Stats'];4.99;435510;Rob Howland
4136;['Action', 'Adventure', 'Casual', 'Indie', 'Simulation'];Find Out;2016-02-16;['Indie', 'Adventure', 'Action', 'Casual', 'Simulation'];['Single-player', 'Steam Trading Cards', 'Partial Controller Support'];0.99;444410;Vorobiov Vadym
4137;['Casual', 'Indie'];DARTHY;2016-02-16;['Indie', 'Casual', 'Platformer', 'Pixel Graphics', 'Puzzle-Platformer', 'Side Scroller'];['Single-player', 'Steam Trading Cards'];0.99;404850;"Collin, Kaleb, &amp; Jeya"
4147;['Adventure', 'Casual', 'Indie'];Magic Flute;2016-02-17;['Adventure', 'Indie', 'Casual', 'Puzzle'];['Single-player', 'Steam Achievements'];4.99;437710;LabLike Sp. z o.o.
4154;['Action', 'Adventure', 'Massively Multiplayer', 'Early Access'];H1Z1;2016-02-17;['Early Access', 'Survival', 'Massively Multiplayer', 'Multiplayer', 'Open World', 'PvP', 'Action', 'FPS', 'Shooter', 'Third-Person Shooter', 'Co-op', 'Adventure', 'Zombies', 'Online Co-Op', 'Violent', 'First-Person', 'Gore', 'Walking Simulator', 'Horror', 'Nudity'];['Multi-player', 'Online Multi-Player', 'In-App Purchases'];19.99;433850;Daybreak Game Company
4158;['Sports'];Pro Basketball Manager 2016 - US Edition;2016-02-18;['Sports'];['Single-player', 'Steam Achievements'];9.99;412560;Cyanide,Umix Studios
4165;['Casual', 'Indie', 'Simulation'];Bonsai;2016-02-18;['Indie', 'Casual', 'Simulation'];['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats'];0.99;444160;Rooted Concepts
4168;['Casual', 'Indie', 'Simulation', 'Strategy'];Plague Inc: Evolved;2016-02-18;['Strategy', 'Simulation', 'Indie', 'Singleplayer', 'Multiplayer', 'Zombies', 'Casual', 'Tactical', 'Replay Value', 'Post-apocalyptic', 'Realistic', 'Atmospheric', '2D', 'Co-op', 'Sandbox', 'Difficult', 'Survival', 'Horror', 'Action', 'Adventure'];['Single-player', 'Online Multi-Player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor'];14.99;246620;Ndemic Creations
4169;['Action', 'Indie', 'RPG'];Dungelot: Shattered Lands;2016-02-18;['Indie', 'Action', 'RPG', 'Dungeon Crawler', 'Rogue-like', 'Puzzle', 'Strategy', 'Loot', 'Rogue-lite'];['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud'];9.99;403940;Red Winter Software
4184;['Racing', 'Simulation'];Car Mechanic Simulator 2015 - Mercedes-Benz;2016-02-22;['Simulation', 'Racing'];['Single-player', 'Downloadable Content'];5.99;434910;Red Dot Games
4187;['Casual', 'Indie', 'Racing'];OutDrive;2016-02-22;['Racing', 'Indie', 'Retro', '1980s', 'Casual', 'Music', 'Great Soundtrack'];['Single-player', 'Steam Trading Cards', 'Partial Controller Support'];2.99;441870;Denver Productions
4192;['Simulation'];Train Simulator: Shanghai Maglev Route Add-On;2016-02-23;['Simulation'];['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards'];19.99;376933;Union Workshop
4195;['Action', 'Casual', 'Indie', 'Simulation'];ChaosTower;2016-02-23;['Indie', 'Casual', 'Action', 'Simulation'];['Single-player', 'Steam Achievements', 'Steam Cloud'];5.99;354280;CashcowGames
4197;['Indie', 'Simulation', 'Strategy'];Making History: The Great War - The Red Army;2016-02-23;['Strategy', 'Indie', 'Simulation'];['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Includes level editor'];4.99;402660;Muzzy Lane Software,Factus Games
4213;['Action', 'Indie', 'Simulation', 'Strategy'];Battlevoid: Harbinger;2016-02-24;['Strategy', 'Action', 'Indie', 'Space', 'Simulation', 'Rogue-like', '2D'];['Single-player', 'Steam Achievements', 'Steam Cloud'];9.99;396480;Bugbyte Ltd.
4218;['RPG'];Disgaea PC / 魔界戦記ディスガイア PC;2016-02-24;['RPG', 'Anime', 'Strategy RPG', 'JRPG', 'Turn-Based', 'Comedy', 'Turn-Based Strategy', 'Funny', 'Turn-Based Tactics', 'Tactical RPG', 'Strategy', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Demons', '2D', 'Pixel Graphics', 'Replay Value', 'Story Rich', 'Visual Novel'];['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud'];14.99;405900;Nippon Ichi Software, Inc.
4231;['Action', 'Adventure', 'Casual', 'Indie'];Adam and Eve: The Game - Chapter 1;2016-02-26;['Casual', 'Adventure', 'Indie', 'Action', 'Platformer'];['Single-player', 'Full controller support'];3.99;443530;Religious Studios
4232;['Action', 'Casual', 'Indie'];Huenison AmigaOS 4;2013-07-12;['Indie', 'Casual', 'Action'];['Single-player', 'Downloadable Content', 'Partial Controller Support'];0.0;434180;RETREAM
4240;['Indie', 'Simulation', 'Strategy'];Life in Bunker;2016-02-25;['Strategy', 'Simulation', 'Survival', 'Indie', 'Sandbox', 'Base Building', 'Management', 'Post-apocalyptic'];['Single-player', 'Steam Achievements', 'Stats'];15.99;401690;Flox Studios Ltd.
4246;['Action', 'Indie'];SUPERHOT;2016-02-25;['FPS', 'Action', 'Bullet Time', 'First-Person', 'Time Manipulation', 'Singleplayer', 'Indie', 'Puzzle', 'Shooter', 'Strategy', 'Minimalist', 'Short', 'Tactical', 'Difficult', 'Bullet Hell', 'VR', 'Cyberpunk', 'Kickstarter', 'Funny', 'Multiplayer'];['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards'];24.99;322500;SUPERHOT Team
4252;['Indie'];Forgotten Ball;2016-03-03;['Indie', 'Platformer', 'Puzzle'];['Single-player', 'Steam Achievements', 'Partial Controller Support'];2.99;434700;littleGigantic
4259;['Adventure', 'Indie'];The Guest;2016-03-10;['Indie', 'Adventure', 'Puzzle', 'Atmospheric', 'Mystery', 'Horror', 'First-Person', 'Walking Simulator', 'Psychological Horror'];['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud'];9.99;402040;Team Gotham
4282;['Adventure', 'Indie'];Act 3 Soundtrack;2016-03-07;['Adventure', 'Indie'];['Single-player', 'Downloadable Content'];4.99;371870;Prologue Games
4289;['Action', 'Adventure', 'RPG'];Tom Clancy’s The Division™;2016-03-07;['Open World', 'Third-Person Shooter', 'Multiplayer', 'Action', 'Co-op', 'Shooter', 'RPG', 'Post-apocalyptic', 'Online Co-Op', 'Survival', 'Massively Multiplayer', 'Tactical', 'Third Person', 'MMORPG', 'Adventure', 'Atmospheric', 'Singleplayer', 'Stealth', 'FPS', 'Sandbox'];['Single-player', 'Multi-player', 'Co-op', 'Steam Trading Cards', 'In-App Purchases'];49.99;365590;Massive Entertainment
4290;['Action', 'Casual', 'Indie', 'Simulation', 'Sports', 'Strategy'];Cue Club 2: Pool & Snooker;2016-03-07;['Action', 'Simulation', 'Sports', 'Indie', 'Strategy', 'Casual', 'Pool'];['Single-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Commentary available'];18.99;366690;Bulldog Interactive
4291;['Free to Play', 'Indie', 'RPG', 'Strategy', 'Early Access'];Labyrinth;2016-03-07;['Early Access', 'Card Game', 'Turn-Based Tactics', 'Strategy', 'Free to Play', 'Trading Card Game', 'Asynchronous Multiplayer', 'Indie', 'Tactical RPG', 'RPG', 'Turn-Based', 'Multiplayer', 'Dungeon Crawler'];['Multi-player', 'Online Multi-Player', 'Steam Trading Cards', 'In-App Purchases', 'Steam Turn Notifications'];0.0;412310;Free Range Games
4295;['Strategy'];Star Realms;2016-03-08;['Strategy', 'Card Game', 'Free to Play', 'Board Game', 'Asynchronous Multiplayer'];['Single-player', 'Multi-player', 'Cross-Platform Multiplayer'];0.0;438140;White Wizard Games
4298;['Simulation'];FSX: Steam Edition - Thessaloniki Airport (LGTS) Add-On;2016-03-08;['Simulation'];['Single-player', 'Multi-player', 'Downloadable Content', 'Partial Controller Support'];18.99;379588;FSDG Online
4309;['Indie', 'Racing'];Race.a.bit;2016-03-10;['Racing', 'Indie', 'Level Editor', 'Asynchronous Multiplayer', 'Moddable'];['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Stats', 'Includes level editor'];9.99;336030;Aesir Interactive
4311;['Action', 'Simulation', 'Sports'];Casey Powell Lacrosse 16;2016-03-08;['Action', 'Simulation', 'Sports'];['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards'];49.99;353890;Big Ant Studios,Crosse Studios
4312;['Adventure', 'Indie'];Case #8;2016-02-29;['Adventure', 'Indie', 'Horror'];['Single-player', 'Steam Trading Cards'];3.99;448350;Peace
4318;['Action', 'Adventure'];Alekhine's Gun;2016-03-11;['Stealth', 'Adventure', 'Action', 'Cold War', 'Assassin', 'Third Person'];['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support'];39.99;406720;Maximum Games
4321;['Action', 'Casual', 'Indie'];Infinity Wings - Scout & Grunt;2016-03-11;"['Action', 'Indie', 'Casual', ""Shoot 'Em Up"", 'Space', 'Retro', 'Arcade', 'Funny', '2D', 'Sci-fi', 'Shooter', 'Futuristic', 'Singleplayer', 'Stylized', 'Strategy', 'Simulation', 'Atmospheric', 'Classic', 'Star Wars', 'Anime']";['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards'];2.99;448790;XiNFiNiTY Games
4345;['Free to Play', 'RPG'];Jesus Christ RPG Trilogy;2016-03-18;['Illuminati', 'Memes', 'Psychological Horror', 'Free to Play', 'Nudity', 'RPG', 'Anime', 'RPGMaker', 'Horror', 'Post-apocalyptic', 'Dating Sim', 'Family Friendly', 'Female Protagonist', 'Fantasy', 'Story Rich', 'Gore', 'Comedy', 'Funny', 'Action', 'Otome'];['Single-player', 'Partial Controller Support', 'Steam Cloud'];0.0;449040;Wholetone Games
4360;['Action', 'Adventure', 'Indie'];Vortex: The Gateway;2016-03-22;['Survival', 'Adventure', 'Action', 'Open World', 'Indie', 'Crafting', 'Aliens', 'Survival Horror', 'Building', 'Horror'];['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available'];7.99;406170;StormCube Games
4364;['Indie', 'Racing'];PolyRace;2016-03-24;['Racing', 'Indie', 'Procedural Generation'];['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards'];5.99;384330;BinaryDream
4369;['Indie', 'Simulation', 'Strategy'];Villagers;2016-03-25;['Strategy', 'Simulation', 'City Builder', 'Indie', 'Medieval'];['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud'];19.99;412460;bumblebee.
4380;['Action', 'Casual', 'Indie'];Linea, the Game - Broken Chiptunes;2016-03-28;['Action', 'Indie', 'Casual', 'Music', 'Difficult', 'Minimalist', 'Music-Based Procedural Generation', 'Fast-Paced', 'Arcade'];['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards'];0.99;453330;KHB-Soft
4403;['Indie', 'Strategy'];Defend Your Crypt;2016-07-21;['Strategy', 'Indie'];['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud'];2.99;457450;Ratalaika Games S.L.
4415;['Action', 'Adventure', 'Indie'];NO THING;2016-04-07;['Indie', 'Action', 'Adventure', 'Great Soundtrack', 'Surreal', 'Difficult', 'Minimalist', 'First-Person', 'Abstract', 'Runner'];['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards'];3.99;444800;Evil Indie Games
4416;['Casual', 'Indie'];Slime Jumper;2016-04-07;['Casual', 'Indie', '2D', 'Local Multiplayer', 'Singleplayer', 'Platformer', 'Fast-Paced'];['Single-player', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Includes level editor'];4.99;408240;Geomertex
4423;['Adventure', 'Casual'];Secret of the Pendulum;2016-04-07;['Adventure', 'Casual', 'Hidden Object'];['Single-player'];7.99;434540;GamesCafe
4451;['Casual', 'Free to Play', 'Indie'];The Average Everyday Adventures of Samantha Browne;2016-04-18;['Free to Play', 'Indie', 'Casual', 'Visual Novel', 'Female Protagonist', 'Comedy'];['Single-player', 'Steam Achievements'];0.0;445130;Lemonsucker Games
4462;['Indie', 'Strategy'];Nomad Fleet;2015-07-14;['Strategy', 'Indie', 'Space', 'Sci-fi', 'RTS', 'Real-Time', 'Singleplayer', 'Atmospheric', 'Replay Value', 'Rogue-lite'];['Single-player', 'Steam Achievements', 'Steam Trading Cards'];9.99;371010;Autarca
4500;['Casual', 'Free to Play', 'Simulation'];One Thousand Lies;2016-03-28;['Free to Play', 'Visual Novel', 'Casual', 'Anime', 'Story Rich', 'Simulation', 'Comedy', 'Psychological', 'Romance', 'Indie', 'Great Soundtrack'];['Single-player', 'Steam Achievements', 'Full controller support'];0.0;463390;Keinart Lobre
4503;['Action', 'Indie'];Demons with Shotguns;2016-04-25;['Action', 'Indie', 'Local Co-Op', 'Great Soundtrack', 'Local Multiplayer', '4 Player Local', 'Singleplayer', 'Demons', 'Pixel Graphics'];['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards'];9.99;370940;MindShaft Games, LLC
4513;['Strategy'];Hyperdevotion Noire: Ultimate Blossom Aizen Set;2016-04-26;['Strategy'];['Single-player', 'Downloadable Content', 'Full controller support'];0.99;426994;Idea Factory,Compile Heart,Sting
4557;['Action', 'Casual', 'Indie', 'Simulation'];State of Anarchy;2016-04-27;"['Indie', 'Action', 'Casual', ""Shoot 'Em Up"", 'Simulation', 'Shooter', 'Funny', 'Top-Down Shooter', 'Hand-drawn', '2D']";['Single-player', 'Steam Trading Cards'];0.99;463210;Lapovich
4560;['Sports'];BASEBALL STARS 2;2016-04-27;['Sports', 'Arcade'];['Single-player', 'Steam Achievements', 'Steam Cloud'];7.99;366230;SNK CORPORATION,DotEmu
4564;['Casual', 'Indie', 'Strategy'];Boss Monster;2016-04-28;['Strategy', 'Indie', 'Casual', 'Card Game', 'Board Game', 'Pixel Graphics'];['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Cloud'];4.99;362350;Plain Concepts Corp
4573;['Action', 'Casual', 'Indie', 'Early Access'];Bunny Bash;2016-04-28;['Early Access', 'Indie', 'Action', 'Casual', 'Blood', 'Multiplayer', 'Funny', 'Gore', 'Platformer'];['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards'];15.99;340680;DarkArts Studios
4576;['Action', 'Adventure', 'Indie'];Back in 1995;2016-04-28;['Action', 'Adventure', 'Indie', 'Retro', 'Survival Horror'];['Single-player', 'Steam Achievements', 'Full controller support'];9.99;433380;Throw the warped code out
4585;"['Animation &amp; Modeling', 'Audio Production', 'Software Training', 'Utilities', 'Video Production']";ScriptVOX Studio;2016-04-29;['Utilities', 'Video Production', 'Animation & Modeling', 'Audio Production', 'Software Training'];['Steam Cloud'];29.99;441850;Screaming Bee
4589;['Indie', 'Simulation', 'Strategy'];CitiesCorp Concept - Build Everything on Your Own;2016-04-29;['Simulation', 'Strategy', 'Indie'];['Single-player'];19.99;446010;SaintWorks
4591;['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy'];OH! GUIDE!;2016-04-29;['Strategy', 'Adventure', 'RPG', 'Indie', 'Casual'];['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards'];1.99;464720;RosePortal Games
4632;['Adventure'];Blues and Bullets - Episode 2;2015-12-25;['Adventure'];['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud'];4.99;384380;A Crowd of Monsters
4642;['Adventure', 'Indie'];Grimsfield;2016-05-12;['Adventure', 'Indie', 'Point & Click'];['Single-player'];3.99;447000;Adam Wells
4664;['Action', 'Indie', 'Racing', 'Simulation', 'Sports'];Race & Destroy;2016-05-13;['Racing', 'Sports', 'Simulation', 'Action', 'Indie'];['Single-player'];1.99;466210;AngryAngelGames
4688;['Action', 'Adventure', 'Indie'];Systematic Immunity OST;2016-05-20;['Action', 'Adventure', 'Indie'];['Downloadable Content'];0.99;477830;Felix Wunderlich
4694;['Adventure', 'Indie', 'RPG'];Detective Hunt - Crownston City PD;2016-05-22;['Adventure', 'Indie', 'RPG', 'Visual Novel', 'Noir', 'Crime', 'Point & Click', 'Anime'];['Single-player', 'Steam Achievements'];4.99;464240;pixepob
4704;['Free to Play', 'Massively Multiplayer', 'Strategy'];Age of Cavemen;2016-05-24;['Free to Play', 'Strategy', 'Massively Multiplayer', 'Multiplayer'];['Multi-player', 'Online Multi-Player', 'MMO', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support'];0.0;454600;Fuero Games
